08-0518,New York,Platinum,209,29.7,238.7,Advances to Regional Round
08-0393,New Mexico,Platinum,217,21.45,238.45,Does not advance
08-2287,California,Platinum,220,18.15,238.15,Does not advance
08-2057,California,Platinum,211,26.4,237.4,Does not advance
08-1209,California,Platinum,218,18.975,236.975,Does not advance
08-0489,Hawaii,Platinum,213,23.925,236.925,Does not advance
08-1482,Michigan,Platinum,211,25.575,236.575,Advances to Regional Round
08-0390,New Mexico,Platinum,211,25.575,236.575,Does not advance
08-1426,Alabama,Platinum,214,22.275,236.275,Does not advance
08-2553,Massachusetts,Platinum,211,24.75,235.75,Does not advance
08-2559,Texas,Platinum,213,22.275,235.275,Does not advance
08-0342,Virginia,Platinum,204,29.7,233.7,Does not advance
08-2021,Texas,Platinum,204,28.875,232.875,Does not advance
08-1715,Michigan,Platinum,209,23.375,232.375,Does not advance
08-0509,North Carolina,Platinum,210,22.275,232.275,Advances to Regional Round
08-1278,Maine,Platinum,211,20.625,231.625,Does not advance
08-1420,California,Platinum,204,26.4,230.4,Does not advance
08-2574,Pennsylvania,Platinum,202,28.05,230.05,Does not advance
08-2417,California,Platinum,205,24.75,229.75,Does not advance
08-2929,Pennsylvania,Platinum,205,24.75,229.75,Does not advance
08-1727,Nebraska,Platinum,203,24.75,227.75,Advances to Regional Round
08-3349,Texas,Platinum,199,28.05,227.05,Does not advance
08-0786,Ohio,Platinum,198,28.05,226.05,Does not advance
08-0212,California,Platinum,197,28.875,225.875,Does not advance
08-1769,Texas,Platinum,200,25.575,225.575,Does not advance
08-0741,Maryland,Platinum,209,14.85,223.85,Does not advance
08-1196,California,Platinum,194,29.7,223.7,Does not advance
08-0779,Colorado,Platinum,193,30.525,223.525,Does not advance
08-3176,Illinois,Platinum,200,22.275,222.275,Advances to Regional Round
08-0938,Arkansas,Platinum,203,18.425,221.425,Advances to Regional Round
08-2977,Colorado,Platinum,204,17.325,221.325,Does not advance
08-2967,Virginia,Platinum,199,22.275,221.275,Does not advance
08-2645,Pennsylvania,Platinum,203,18.15,221.15,Does not advance
08-1901,Massachusetts,Platinum,195,25.575,220.575,Does not advance
08-0735,Connecticut,Platinum,195,24.75,219.75,Advances to Regional Round
08-1891,Virginia,Platinum,219,0,219,Does not advance
08-0319,Kansas,Platinum,199,19.8,218.8,Advances to Regional Round
08-0435,Texas,Platinum,202,15.675,217.675,Does not advance
08-0707,Hawaii,Platinum,213,0,213,Does not advance
08-2688,Canada,Platinum,201,10.725,211.725,Does not advance
08-0979,Virginia,Platinum,194,16.5,210.5,Does not advance
08-0581,Washington,Platinum,186,23.925,209.925,Does not advance
08-2477,Texas,Platinum,190,18.15,208.15,Does not advance
08-0774,Maryland,Platinum,179,24.75,203.75,Does not advance
08-1669,Oklahoma,Platinum,200,0,200,Does not advance
08-2957,Virginia,Platinum,176,15.95,191.95,Does not advance
08-2969,Virginia,Platinum,188,0,188,Does not advance
08-1357,Texas,Platinum,160,21.45,181.45,Does not advance
08-0262,California,Platinum,159,17.325,176.325,Does not advance
08-2706,Canada,Gold,277,24.75,301.75,Advances to Regional Round
08-0279,California,Gold,281,20.625,301.625,Advances to Regional Round
08-2891,California,Gold,267,29.7,296.7,Advances to Regional Round
